Country Name;year;GDP_USD;GDP_per_capita_USD
India;1990;320979000000.0;3675.56
India;1991;270105000000.0;3030.55
India;1992;288208000000.0;3169.53
India;1993;279296000000.0;3011.59
India;1994;327276000000.0;3461.02
India;1995;360282000000.0;3737.66
India;1996;392897000000.0;3999.50
India;1997;415868000000.0;4154.93
India;1998;421351000000.0;4132.98
India;1999;458820000000.0;4419.98
India;2000;468395000000.0;4433.14
India;2001;485441000000.0;4515.72
India;2002;514938000000.0;4709.86
India;2003;607699000000.0;5467.26
India;2004;709149000000.0;6277.74
India;2005;820382000000.0;7148.61
India;2006;940260000000.0;8067.53
India;2007;1216740000000.0;1028.33
India;2008;1198900000000.0;9985.22
India;2009;1341890000000.0;1101.96
India;2010;1675620000000.0;1357.56
India;2011;1823050000000.0;1458.10
India;2012;1827640000000.0;1443.88
India;2013;1856720000000.0;1449.61
India;2014;2039130000000.0;1573.88
India;2015;2103590000000.0;1605.60
India;2016;2294800000000.0;1732.55
India;2017;2651470000000.0;1980.66
India;2018;2702930000000.0;1998.25
India;2019;2831550000000.0;2072.24
Indonesia;1990;106141000000.0;5850.76
Indonesia;1991;116622000000.0;6317.82
Indonesia;1992;128027000000.0;6819.38
Indonesia;1993;158007000000.0;8279.05
Indonesia;1994;176892000000.0;9122.03
Indonesia;1995;202132000000.0;1026.39
Indonesia;1996;227370000000.0;1137.41
Indonesia;1997;215749000000.0;1063.71
Indonesia;1998;95445547873.0;4639.48
Indonesia;1999;140001000000.0;6710.98
Indonesia;2000;165021000000.0;7801.90
Indonesia;2001;160447000000.0;7482.57
Indonesia;2002;195661000000.0;9001.77
Indonesia;2003;234772000000.0;1065.64
Indonesia;2004;256837000000.0;1150.26
Indonesia;2005;285869000000.0;1263.28
Indonesia;2006;364571000000.0;1589.80
Indonesia;2007;432217000000.0;1860.00
Indonesia;2008;510229000000.0;2166.85
Indonesia;2009;539580000000.0;2261.24
Indonesia;2010;755094000000.0;3122.36
Indonesia;2011;892969000000.0;3643.04
Indonesia;2012;917870000000.0;3694.35
Indonesia;2013;912524000000.0;3623.92
Indonesia;2014;890815000000.0;3491.63
Indonesia;2015;860854000000.0;3331.69
Indonesia;2016;931877000000.0;3562.81
Indonesia;2017;1015620000000.0;3837.57
Indonesia;2018;1042270000000.0;3893.85
Indonesia;2019;1119100000000.0;4135.23
